Row   4, Col  1 (A4): val='20.07.26' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row   4, Col  2 (B4): val='Оплата (20.07.2026)' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row   4, Col  3 (C4): val=None | fg=Values must be of type <class 'str'> | font=None | comment=None
Row   4, Col  4 (D4): val=175000 | fg=Values must be of type <class 'str'> | font=None | comment=None
Row   4, Col  8 (H4): val='20.07.26' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row   4, Col  9 (I4): val='Приход (343/0 от 20.07.2026)' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row   4, Col 10 (J4): val=None | fg=Values must be of type <class 'str'> | font=None | comment=None
Row   4, Col 11 (K4): val=53595 | fg=Values must be of type <class 'str'> | font=None | comment=None
Row   6, Col  1 (A6): val='20.07.26' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row   6, Col  2 (B6): val='Продажа (6113/1 от 20.07.2026)' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row   6, Col  3 (C6): val=1110 | fg=Values must be of type <class 'str'> | font=None | comment=None
Row   6, Col  4 (D6): val=None | fg=Values must be of type <class 'str'> | font=None | comment=None
Row   8, Col  8 (H8): val='20.07.26' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row   8, Col  9 (I8): val='Приход (345/0 от 20.07.2026)' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row   8, Col 10 (J8): val=None | fg=Values must be of type <class 'str'> | font=None | comment=None
Row   8, Col 11 (K8): val=13164 | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  12, Col  1 (A12): val='20.07.26' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  12, Col  2 (B12): val='Продажа (6113/2 от 20.07.2026)' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  12, Col  3 (C12): val=66870 | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  12, Col  4 (D12): val=None | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  13, Col  8 (H13): val='20.07.26' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  13, Col  9 (I13): val='Приход (346/0 от 20.07.2026)' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  13, Col 10 (J13): val=None | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  13, Col 11 (K13): val=13704 | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  18, Col  8 (H18): val='20.07.26' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  18, Col  9 (I18): val='Приход (347/0 от 20.07.2026)' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  18, Col 10 (J18): val=None | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  18, Col 11 (K18): val=13704 | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  23, Col  1 (A23): val='20.07.26' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  23, Col  2 (B23): val='Продажа (6122/1 от 20.07.2026)' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  23, Col  3 (C23): val=222 | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  23, Col  4 (D23): val=None | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  23, Col  8 (H23): val='20.07.26' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  23, Col  9 (I23): val='Приход (348/0 от 20.07.2026)' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  23, Col 10 (J23): val=None | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  23, Col 11 (K23): val=13704 | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  25, Col  1 (A25): val='20.07.26' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  25, Col  2 (B25): val='Продажа (6122/2 от 20.07.2026)' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  25, Col  3 (C25): val=53373 | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  25, Col  4 (D25): val=None | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  27, Col  1 (A27): val='20.07.26' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  27, Col  2 (B27): val='Продажа (6149/1 от 20.07.2026)' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  27, Col  3 (C27): val=222 | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  27, Col  4 (D27): val=None | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  28, Col  8 (H28): val='20.07.26' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  28, Col  9 (I28): val='Приход (349/0 от 20.07.2026)' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  28, Col 10 (J28): val=None | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  28, Col 11 (K28): val=13704 | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  29, Col  1 (A29): val='20.07.26' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  29, Col  2 (B29): val='Продажа (6149/2 от 20.07.2026)' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  29, Col  3 (C29): val=17679.3 | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  29, Col  4 (D29): val=None | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  32, Col  1 (A32): val='20.07.26' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  32, Col  2 (B32): val='Продажа (6121/1 от 20.07.2026)' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  32, Col  3 (C32): val=222 | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  32, Col  4 (D32): val=None | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  33, Col  8 (H33): val='20.07.26' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  33, Col  9 (I33): val='Приход (350/0 от 20.07.2026)' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  33, Col 10 (J33): val=None | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  33, Col 11 (K33): val=17901.3 | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  34, Col  1 (A34): val='20.07.26' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  34, Col  2 (B34): val='Продажа (6121/2 от 20.07.2026)' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  34, Col  3 (C34): val=59492 | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  34, Col  4 (D34): val=None | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  36, Col  1 (A36): val='21.07.26' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  36, Col  2 (B36): val='Продажа (6186/1 от 21.07.2026)' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  36, Col  3 (C36): val=222 | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  36, Col  4 (D36): val=None | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  38, Col  1 (A38): val='21.07.26' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  38, Col  2 (B38): val='Продажа (6186/2 от 21.07.2026)' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  38, Col  3 (C38): val=5270 | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  38, Col  4 (D38): val=None | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  39, Col  8 (H39): val='20.07.26' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  39, Col  9 (I39): val='Приход (360/0 от 20.07.2026)' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  39, Col 10 (J39): val=None | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  39, Col 11 (K39): val=59714 | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  40, Col  1 (A40): val='21.07.26' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  40, Col  2 (B40): val='Продажа (6193/1 от 21.07.2026)' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  40, Col  3 (C40): val=444 | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  40, Col  4 (D40): val=None | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  42, Col  1 (A42): val='21.07.26' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  42, Col  2 (B42): val='Продажа (6193/2 от 21.07.2026)' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  42, Col  3 (C42): val=33669 | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  42, Col  4 (D42): val=None | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  43, Col  8 (H43): val='20.07.26' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  43, Col  9 (I43): val='Оплата (20.07.2026)' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  43, Col 10 (J43): val=175000 | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  43, Col 11 (K43): val=None | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  44, Col  1 (A44): val='23.07.26' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  44, Col  2 (B44): val='Продажа (6247/2 от 23.07.2026)' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  44, Col  3 (C44): val=8581.2 | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  44, Col  4 (D44): val=None | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  45, Col  8 (H45): val='21.07.26' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  45, Col  9 (I45): val='Приход (352/0 от 21.07.2026)' | fg=Values must be of type <class 'str'> | font=None | comment=None
Row  45, Col 10 (J45): val=None | fg=Values must be of type <class 'str'> | font=None | comment=None
